date_only,rows,total_engagement,avg_engagement
2026-03-15,13,37123,2855.6153846153848
2026-03-16,14,29990,2142.1428571428573
2026-03-17,12,23939,1994.9166666666667
2026-03-18,14,27689,1977.7857142857142
2026-03-19,14,345591,24685.071428571428
2026-03-20,14,43637,3116.9285714285716
2026-03-21,9,107614,11957.111111111111
2026-03-22,6,3811881,635313.5
2026-03-23,8,39868,4983.5
2026-03-24,19,62941,3312.684210526316
2026-03-25,15,76574,5104.933333333333
2026-03-26,34,269105,7914.85294117647
2026-03-27,25,447955,17918.2
2026-03-28,15,63892,4259.466666666666
2026-03-29,26,28091,1080.423076923077
2026-03-30,45,108212,2404.711111111111
2026-03-31,70,95444,1363.4857142857143
2026-04-01,64,175869,2747.953125
2026-04-02,91,57379,630.5384615384615
2026-04-03,154,260904,1694.1818181818182
2026-04-04,242,38668,159.78512396694214
2026-04-05,39,544,13.948717948717949
